timestamp,VAR_001,VAR_002,VAR_003,VAR_004,VAR_005,VAR_006,VAR_007,VAR_008,VAR_009,VAR_010,VAR_011,VAR_012,VAR_013,VAR_014,VAR_015,VAR_016,VAR_017,VAR_018,VAR_019,VAR_020,VAR_021,VAR_022,VAR_023,VAR_024,VAR_025,VAR_026,VAR_027,VAR_028,VAR_029,VAR_030
2026-02-26T00:00:00Z,66.52,1917.42,173.34,1305.34,57.71,1882.03,173.95,900.77,72.58,1880.90,173.75,1158.08,54.45,1839.50,174.53,883.48,334.64,84.74,100.89,302.98,1874.54,3542.18,2.40,150.42,162.62,651.05,2.95,983.41,61.84,542.12
2026-02-26T00:10:00Z,66.37,1921.64,173.27,1277.45,58.11,1879.92,174.46,901.80,72.45,1891.58,174.11,1162.14,54.59,1840.86,175.11,888.93,336.42,83.81,100.96,301.58,1871.68,3557.83,2.56,150.88,164.16,657.98,2.64,985.78,61.00,548.33
2026-02-26T00:20:00Z,66.33,1914.13,172.57,1290.76,58.00,1877.92,174.86,911.38,72.31,1892.51,172.84,1152.76,54.80,1840.96,175.36,872.55,338.95,83.88,100.80,305.97,1876.08,3549.20,2.53,151.46,163.88,652.13,3.23,986.08,60.52,550.21
2026-02-26T00:30:00Z,66.06,1914.86,172.33,1284.07,57.98,1883.38,174.23,891.55,72.89,1880.97,172.96,1171.22,54.68,1835.20,174.84,888.48,334.58,85.89,100.63,303.75,1873.39,3535.55,2.25,149.75,161.95,653.24,3.26,981.44,60.73,542.40
2026-02-26T00:40:00Z,66.31,1918.78,172.59,1290.08,57.86,1876.68,173.20,884.81,72.47,1886.07,173.25,1170.38,54.21,1843.82,175.57,888.51,337.07,86.51,99.70,301.67,1870.49,3557.48,2.63,149.66,164.85,653.62,3.15,985.15,61.80,542.21
2026-02-26T00:50:00Z,65.98,1927.16,172.67,1275.91,58.35,1869.95,173.14,891.68,72.40,1895.66,173.43,1166.81,53.66,1850.35,175.24,881.88,342.85,85.68,99.67,310.77,1876.31,3546.07,2.51,151.54,166.64,654.56,2.97,991.64,61.89,547.16
2026-02-26T01:00:00Z,65.98,1929.65,172.82,1272.11,58.20,1875.88,173.81,918.76,72.55,1877.89,173.31,1172.81,53.62,1850.58,174.56,889.41,343.65,88.27,99.79,306.87,1873.70,3551.88,2.59,151.54,165.87,656.14,3.21,982.51,61.87,549.32
2026-02-26T01:10:00Z,65.90,1931.02,173.45,1269.85,58.08,1883.17,174.07,910.69,72.69,1890.09,173.57,1170.44,53.67,1852.52,174.51,880.36,345.50,87.46,101.12,311.04,1874.70,3555.89,2.31,150.73,166.80,654.91,3.15,989.02,60.62,542.72
2026-02-26T01:20:00Z,66.05,1925.31,173.25,1278.17,58.33,1874.56,173.60,899.23,72.89,1887.24,173.87,1176.40,53.76,1856.04,175.63,869.31,341.63,86.25,100.11,304.71,1873.89,3539.94,2.56,151.08,166.37,661.79,2.80,975.69,60.66,547.82
2026-02-26T01:30:00Z,65.89,1929.37,172.84,1281.79,58.05,1871.61,174.06,899.85,72.67,1883.61,174.19,1173.68,53.29,1858.82,175.07,876.10,341.60,86.55,99.81,306.58,1870.47,3551.19,2.54,148.58,166.00,655.51,2.70,984.18,61.00,544.14
2026-02-26T01:40:00Z,65.79,1931.07,172.46,1282.85,57.84,1863.61,174.17,904.39,72.44,1883.09,174.47,1175.74,53.04,1862.57,174.06,865.74,339.70,85.46,99.94,308.80,1868.98,3546.71,2.48,150.89,164.73,659.21,2.96,977.48,60.73,542.85
2026-02-26T01:50:00Z,65.91,1928.42,172.77,1288.59,57.92,1872.26,173.63,908.47,72.46,1882.48,173.85,1172.65,53.15,1870.69,174.19,840.96,342.07,86.83,100.58,306.31,1872.94,3540.24,2.41,151.53,164.41,647.10,2.97,990.40,60.99,546.14
2026-02-26T02:00:00Z,66.21,1925.05,173.07,1292.18,58.17,1874.33,173.43,928.12,72.46,1875.27,174.46,1165.93,53.21,1863.61,174.04,854.13,336.63,87.10,99.80,303.53,1870.91,3544.96,2.97,149.77,163.63,652.45,3.29,989.52,61.45,544.18
2026-02-26T02:10:00Z,66.44,1912.57,172.97,1295.75,58.28,1877.67,174.71,934.21,72.25,1880.75,175.24,1166.54,52.93,,174.31,858.87,340.79,85.22,100.28,307.08,1874.66,3548.12,2.39,149.90,166.21,659.38,3.00,987.30,61.68,547.68
2026-02-26T02:20:00Z,66.89,1904.63,172.52,1305.17,58.30,1871.84,174.66,921.89,72.49,1885.74,174.91,1168.61,52.90,1877.61,175.08,861.03,336.63,85.85,100.45,306.17,1885.13,3559.61,2.29,151.27,164.12,656.32,3.10,990.23,61.50,544.54
2026-02-26T02:30:00Z,66.85,1901.13,173.01,1319.68,58.43,1868.54,174.10,911.16,72.21,1884.32,175.06,1166.84,53.10,1874.90,174.95,851.93,342.49,84.08,100.46,308.32,1873.81,3557.70,2.58,150.72,167.15,660.97,2.83,984.63,62.27,534.02
2026-02-26T02:40:00Z,66.45,1916.70,173.23,1331.16,58.42,1861.09,174.25,920.74,72.16,1891.13,173.90,1153.78,53.17,1871.13,174.35,847.92,346.10,83.76,100.71,313.52,1886.68,3545.29,2.52,151.73,167.61,658.17,3.23,992.26,61.82,538.17
2026-02-26T02:50:00Z,66.29,1921.63,173.06,1321.85,58.21,1860.16,174.02,916.59,71.57,1904.14,173.37,1140.95,53.22,1869.43,174.63,844.07,341.39,85.90,101.28,309.31,1872.13,3547.94,2.54,149.76,165.48,652.42,2.74,988.29,62.44,547.42
2026-02-26T03:00:00Z,66.29,1928.45,173.53,1306.19,58.12,1864.11,173.97,922.68,72.04,1906.58,172.98,1132.06,53.37,1860.84,174.54,857.60,338.68,85.56,100.01,304.68,1866.61,3560.57,2.43,149.63,163.51,655.81,2.88,985.45,62.20,541.45
2026-02-26T03:10:00Z,66.10,1930.43,173.30,1300.11,57.73,1870.22,174.26,923.04,71.81,1910.65,173.22,1136.67,53.19,1860.46,174.53,858.84,334.91,84.28,100.26,300.21,1865.38,3564.35,2.55,150.95,162.54,645.73,3.15,977.90,61.74,529.24
2026-02-26T03:20:00Z,66.30,1924.10,173.20,1301.50,57.51,1879.62,174.14,918.12,71.87,1902.20,173.78,1139.62,52.92,1862.13,174.57,856.56,329.41,85.40,100.05,293.20,1862.47,3545.53,2.48,152.08,157.71,645.92,3.02,,61.61,531.47
2026-02-26T03:30:00Z,66.20,1927.71,173.23,1297.86,57.87,1874.34,174.07,902.72,71.82,1897.36,173.55,1144.47,53.26,1869.25,173.56,842.98,333.61,84.80,98.98,298.19,1871.79,3549.52,2.75,148.95,161.74,651.27,2.87,990.87,62.43,546.32
2026-02-26T03:40:00Z,66.19,1934.97,173.41,1286.45,57.75,1881.07,173.88,895.97,71.53,1894.67,173.56,1142.47,53.26,1867.27,173.09,838.49,335.18,82.64,99.49,300.12,1867.74,3548.77,2.31,149.93,163.60,649.05,2.75,974.81,61.62,549.44
2026-02-26T03:50:00Z,66.05,1929.26,172.62,1290.22,57.75,1881.37,174.41,892.08,71.86,1910.98,173.03,1154.72,53.23,1879.81,173.89,838.02,334.49,83.99,99.94,305.08,1875.36,3555.54,2.35,152.23,161.09,656.28,2.92,990.66,60.94,549.73
2026-02-26T04:00:00Z,65.91,1936.56,172.73,1282.01,57.66,1875.56,174.03,908.17,71.95,1910.34,173.24,1148.13,53.00,1879.61,173.44,830.00,333.58,84.56,100.65,298.65,1859.14,3554.01,2.46,151.10,163.93,659.98,3.05,976.40,61.28,548.61
2026-02-26T04:10:00Z,65.88,1939.97,171.99,1274.85,57.53,1873.64,173.98,903.96,72.06,1905.34,173.35,1133.14,53.21,1872.32,172.99,844.97,336.78,83.76,98.99,303.46,1867.87,3554.06,2.32,149.63,163.64,656.05,2.84,985.89,63.10,529.26
2026-02-26T04:20:00Z,65.94,1938.53,172.07,1274.93,57.69,1888.76,173.70,906.91,72.04,1908.46,172.85,1128.71,53.12,1877.71,173.24,836.24,332.93,83.79,99.66,298.18,1863.97,3552.36,2.08,150.21,158.51,650.29,2.72,980.43,60.63,542.77
2026-02-26T04:30:00Z,66.40,1930.06,172.19,1269.36,57.73,1876.84,174.29,901.80,71.94,1897.05,172.62,1135.72,53.18,1868.57,174.04,856.19,335.98,83.27,99.56,300.65,1878.61,3545.20,2.59,150.57,164.66,649.66,2.79,989.73,61.43,529.28
2026-02-26T04:40:00Z,66.20,1925.28,172.62,1281.20,57.85,1877.66,173.98,895.18,71.93,1903.51,172.97,1127.64,53.43,1865.04,174.00,863.21,336.59,83.34,99.46,303.60,1866.63,3556.07,2.49,150.82,164.50,651.34,3.09,986.66,60.89,553.16
2026-02-26T04:50:00Z,66.37,1923.67,172.28,1276.20,57.89,1870.64,173.58,910.12,72.09,1897.72,173.21,1157.49,53.14,1867.50,174.83,862.15,335.60,84.31,99.82,298.93,1865.22,3570.53,2.52,151.46,161.45,653.00,2.91,984.08,60.97,550.74
2026-02-26T05:00:00Z,66.32,1916.27,172.97,1287.99,58.03,1871.98,174.02,904.44,72.07,1885.67,173.67,1159.86,52.87,1887.74,174.76,854.13,336.26,81.08,99.84,304.22,1871.10,3556.16,2.71,151.91,161.80,640.92,3.10,982.40,61.11,530.17
2026-02-26T05:10:00Z,66.37,1910.99,173.84,1299.53,57.79,1881.04,174.16,909.68,71.82,1897.19,173.29,1155.66,53.08,1865.88,175.14,846.20,333.52,85.45,100.03,300.42,1866.31,3544.29,2.34,151.16,163.35,653.99,2.81,987.21,61.47,538.16
2026-02-26T05:20:00Z,66.33,1921.22,173.41,1288.76,57.87,1887.96,173.87,915.02,71.68,1899.18,173.36,1157.61,53.12,1859.12,174.60,845.81,338.98,83.00,100.02,302.79,1868.53,3552.06,2.32,150.30,161.95,650.66,3.04,981.95,62.06,540.51
2026-02-26T05:30:00Z,66.15,1930.61,172.98,1304.75,58.10,1870.27,174.62,911.39,71.98,1899.03,173.17,1154.54,52.90,1871.74,174.10,831.60,337.45,84.55,99.31,303.71,1865.46,3541.70,2.56,150.23,164.26,653.41,2.63,982.26,60.86,534.29
2026-02-26T05:40:00Z,65.63,1935.81,172.89,1289.64,58.22,1871.30,175.12,916.12,72.31,1889.51,174.12,1168.12,52.54,1876.75,174.17,832.71,345.10,84.41,99.51,308.42,1882.08,3546.73,2.41,150.87,165.90,654.66,3.01,991.29,61.22,534.90
2026-02-26T05:50:00Z,65.43,1933.27,173.22,1289.18,58.06,1872.53,174.39,912.50,72.45,1897.62,173.65,1155.69,52.50,1880.31,174.37,830.28,340.51,86.49,100.18,309.24,1873.46,3549.26,2.29,151.50,167.07,658.85,3.04,985.75,61.25,546.71
2026-02-26T06:00:00Z,65.54,1939.28,172.90,1283.15,57.96,1872.53,173.94,912.36,72.32,1900.41,174.04,1156.35,52.17,1886.30,174.58,820.81,340.13,85.78,101.02,306.54,1872.58,3554.69,2.50,152.13,163.62,646.14,3.09,994.77,63.36,545.12
2026-02-26T06:10:00Z,65.42,1948.28,172.34,1273.03,58.15,1867.88,173.33,906.35,72.51,1899.62,173.60,1157.14,52.07,1892.84,173.83,816.69,339.18,86.09,100.23,304.49,1867.07,3544.76,2.44,150.62,165.43,655.98,2.80,985.31,61.55,541.53
2026-02-26T06:20:00Z,64.96,1957.90,172.29,1249.57,58.03,1876.48,174.16,917.16,72.50,1896.04,173.95,1149.81,52.08,1898.63,173.34,813.70,337.47,83.25,99.73,301.84,1872.47,3535.99,2.45,149.89,162.71,650.78,2.86,981.82,60.37,549.87
